shipment_event_type_code,shipment_event_type_name,shipment_event_type_description
RECE,Received,Indicates that a document is received by the carrier or shipper
DRFT,Drafted,Indicates that a document is in draft mode being updated by either the shipper or the carrier.
PENA,Pending Approval,Indicates that a document has been submitted by the shipper or carrier and is now awaiting approval by the counterpart.
PENU,Pending Update,Indicates that the carrier requested an update from the shipper which is not received yet.
REJE,Rejected,Indicates that a document has been rejected by the carrier.
APPR,Approved,Indicates that a document has been approved by the counterpart.
ISSU,Issued,Indicates that a document has been issued by the carrier.
SURR,Surrendered,Indicates that a document has been surrendered by the customer to the carrier.
SUBM,Submitted,Indicates that a document has been submitted by the customer to the carrier
VOID,Void,Cancellation of an original document.
CONF,Confirmed,Indicates that the document is confirmed
HOLD,Indicated the shipment is on hold in customs inspection
RELS,Indicates the shipment is released from customs inspection
