unlocode,timezone
AEAUH,Asia/Dubai
AESHJ,Asia/Dubai
AOLAD,Africa/Luanda
ARBHI,America/Argentina/Buenos_Aires
ARBUE,America/Argentina/Buenos_Aires
ARMDQ,America/Argentina/Buenos_Aires
ARPMY,America/Argentina/Catamarca
ARPUD,America/Argentina/Rio_Gallegos
ARROS,America/Argentina/Cordoba
ARSAE,America/Argentina/Buenos_Aires
ARUSH,America/Argentina/Ushuaia
ASPPG,Pacific/Pago_Pago
AUADL,Australia/Adelaide
AUBNE,Australia/Brisbane
AUBWT,Australia/Hobart
AUDRW,Australia/Darwin
AUGEX,Australia/Melbourne
AUGLT,Australia/Brisbane
AUHLT,Australia/Melbourne
AUMEL,Australia/Melbourne
AUSYD,Australia/Sydney
BDCGP,Asia/Dhaka
BEANR,Europe/Brussels
BHBAH,Asia/Bahrain
BJCOO,Africa/Porto-Novo
BRFOR,America/Fortaleza
BRMAO,America/Manaus
BRNVT,America/Sao_Paulo
BRPNG,America/Sao_Paulo
BRRIG,America/Sao_Paulo
BRSLZ,America/Belem
BRSSA,-38.3310
BRSSZ,America/Sao_Paulo
BRVDC,America/Bahia
BRVIX,America/Sao_Paulo
CGPNR,Africa/Brazzaville
CIABJ,Africa/Abidjan
CLANF,America/Santiago
CLARI,America/Santiago
CLIQQ,America/Santiago
CLPUQ,America/Punta_Arenas
CLVAP,America/Santiago
CNLYG,Asia/Shanghai
COBAQ,America/Bogota
COBUN,America/Bogota
COCTG,America/Bogota
COSMR,America/Bogota
COTRB,America/Bogota
CRLIO,America/Costa_Rica
CUHAV,America/Havana
DEBRV,Europe/Berlin
DEHAM,Europe/Berlin
DEWVN,Europe/Berlin
DKAAL,Europe/Copenhagen
DKAAR,Europe/Copenhagen
DKCPH,Europe/Copenhagen
DZALG,Africa/Algiers
DZORN,Africa/Algiers
ECGYE,America/Guayaquil
EGALY,Africa/Cairo
EGPSD,Africa/Cairo
ESACE,Atlantic/Canary
ESAGP,Europe/Madrid
ESBCN,Europe/Madrid
ESBIO,Europe/Madrid
ESLCG,Europe/Madrid
ESLPA,Atlantic/Canary
ESMLN,Africa/Ceuta
ESVGO,Europe/Madrid
ESVLC,Europe/Madrid
FIHEL,Europe/Helsinki
FIKOK,Europe/Helsinki
FITKU,Europe/Helsinki
FJSUV,Pacific/Fiji
FRLEH,Europe/Paris
GAOWE,Africa/Libreville
GBBEL,Europe/London
GBGRK,Europe/London
GBHUL,Europe/London
GBRCS,Europe/London
GBSOU,Europe/London
GBTIL,Europe/London
GHTKD,Africa/Accra
GIGIB,Europe/Gibraltar
GRSKG,Europe/Athens
GTPBR,America/Guatemala
HKHKG,Asia/Hong_Kong
HRRJK,Europe/Zagreb
HTPAP,America/Port-au-Prince
IDBDJ,Asia/Makassar
IDSUB,Asia/Jakarta
IEDUB,Europe/Dublin
IEORK,Europe/Dublin
ILHFA,Asia/Jerusalem
INCCU,Asia/Kolkata
INCOK,Asia/Kolkata
INENR,Asia/Kolkata
INIXE,Asia/Kolkata
INMAA,Asia/Kolkata
INNSA,Asia/Kolkata
INTUT,Asia/Kolkata
INVTZ,Asia/Kolkata
ITAOI,Europe/Rome
ITCAG,Europe/Rome
ITCTA,Europe/Rome
ITGOA,Europe/Rome
ITLIV,Europe/Rome
ITNAP,Europe/Rome
ITRAN,Europe/Rome
ITTRS,Europe/Rome
ITVCE,Europe/Rome
JMKIN,America/Jamaica
JOAQJ,Asia/Amman
JPAXT,Asia/Tokyo
JPHHE,Asia/Tokyo
JPHIJ,Asia/Tokyo
JPIWK,Asia/Tokyo
JPKCZ,Asia/Tokyo
JPKIJ,Asia/Tokyo
JPKMJ,Asia/Tokyo
JPMYJ,Asia/Tokyo
JPNGS,Asia/Tokyo
JPOIT,Asia/Tokyo
JPOSA,Asia/Tokyo
JPTTJ,Asia/Tokyo
JPTYO,Asia/Tokyo
JPUBJ,Asia/Tokyo
JPUKB,Asia/Tokyo
JPWKJ,Asia/Tokyo
JPYOK,Asia/Tokyo
KEMBA,Africa/Nairobi
KHKOS,Asia/Phnom_Penh
KRKPO,Asia/Seoul
KRPUS,Asia/Seoul
KRUSN,Asia/Seoul
LBBEY,Asia/Beirut
LKCMB,Asia/Colombo
LTKLJ,Europe/Vilnius
LVRIX,Europe/Riga
MACAS,Africa/Casablanca
MATNG,Africa/Casablanca
MMRGN,Asia/Yangon
MRNKC,Africa/Nouakchott
MXESE,America/Tijuana
MXLZC,America/Mexico_City
MXMZT,America/Mazatlan
MXTAP,America/Merida
MXVER,America/Mexico_City
MXZLO,America/Mexico_City
MYPEN,Asia/Kuala_Lumpur
MYPKG,Asia/Kuala_Lumpur
MZMPM,Africa/Maputo
NGPHC,Africa/Lagos
NLAMS,Europe/Amsterdam
NLRTM,Europe/Amsterdam
NOAES,Europe/Oslo
NOBGO,Europe/Oslo
NOOSL,Europe/Oslo
NZAKL,Pacific/Auckland
NZNPE,Pacific/Auckland
NZNPL,Pacific/Auckland
NZNSN,Pacific/Auckland
NZTIU,Pacific/Auckland
NZTRG,Pacific/Auckland
NZWLG,Pacific/Auckland
OMSLL,Asia/Muscat
PABLB,America/Panama
PAONX,America/Panama
PFPPT,Pacific/Tahiti
PHCEB,Asia/Manila
PHMNL,Asia/Manila
PKKHI,Asia/Karachi
PLGDN,Europe/Warsaw
PLSZZ,Europe/Warsaw
PRSJU,America/Puerto_Rico
PTLIS,Europe/Lisbon
PTPXO,Atlantic/Madeira
PTSIE,Europe/Lisbon
PYASU,America/Asuncion
PYPIL,America/Asuncion
QADOH,Asia/Qatar
ROCND,Europe/Bucharest
RULED,Europe/Moscow
RUVVO,Asia/Vladivostok
SADMM,Asia/Riyadh
SAJED,Asia/Riyadh
SDPZU,Africa/Khartoum
SEGOT,Europe/Stockholm
SEGVX,Europe/Stockholm
SEHAD,Europe/Stockholm
SENRK,Europe/Stockholm
SESTO,Europe/Stockholm
SEVST,Europe/Stockholm
SGSIN,Asia/Singapore
SNDKR,Africa/Dakar
SRPBM,America/Paramaribo
SYLTK,Asia/Damascus
THBKK,Asia/Bangkok
TNTUN,Africa/Tunis
TRIST,Europe/Istanbul
TTPOS,America/Port_of_Spain
TWKHH,Asia/Taipei
TZDAR,Africa/Dar_es_Salaam
UAODS,Europe/Kiev
USCHS,America/New_York
USHNL,Pacific/Honolulu
USHOU,America/Chicago
USILM,America/New_York
USJAX,America/New_York
USLAX,America/Los_Angeles
USLGB,America/Los_Angeles
USMIA,America/New_York
USMOB,America/Chicago
USMSY,America/Chicago
USNTD,America/Los_Angeles
USNYC,America/New_York
USOAK,America/Los_Angeles
USORF,America/New_York
USPDX,America/Los_Angeles
USPHL,America/New_York
USSAV,America/New_York
USSEA,America/Los_Angeles
USTIW,America/Los_Angeles
UYMVD,America/Montevideo
VELAG,America/Caracas
VEPBL,America/Caracas
VNHPH,Asia/Bangkok
VNSGN,Asia/Ho_Chi_Minh
WSAPW,Pacific/Apia
ZACPT,Africa/Johannesburg
ZADUR,Africa/Johannesburg
