FilterParameters,Required
"transportDocumentReferences",yes
"transportDocumentReferences, equipmentReferences",
equipmentReferences,
"portOfDischargeArrivalDateMin, portOfDischargeArrivalDateMax, equipmentReferences",
"portOfDischargeArrivalDateMin, portOfDischargeArrivalDateMax, portOfDischarge",
"portOfDischargeArrivalDateMin, portOfDischargeArrivalDateMax, vesselIMONumber",
"portOfDischargeArrivalDateMin, portOfDischargeArrivalDateMax, vesselIMONumber, carrierImportVoyageNumber",
"portOfDischargeArrivalDateMin, portOfDischargeArrivalDateMax, vesselIMONumber, carrierImportVoyageNumber, carrierServiceCode",
"portOfDischargeArrivalDateMin, portOfDischargeArrivalDateMax, vesselIMONumber, carrierImportVoyageNumber, universalServiceReference",
"portOfDischargeArrivalDateMin, portOfDischargeArrivalDateMax, vesselIMONumber, universalImportVoyageReference",
"portOfDischargeArrivalDateMin, portOfDischargeArrivalDateMax, vesselIMONumber, universalImportVoyageReference, carrierServiceCode",
"portOfDischargeArrivalDateMin, portOfDischargeArrivalDateMax, vesselIMONumber, universalImportVoyageReference, universalServiceReference",
"portOfDischargeArrivalDateMin, portOfDischargeArrivalDateMax, vesselName",
"portOfDischargeArrivalDateMin, portOfDischargeArrivalDateMax, vesselName, carrierImportVoyageNumber",
"portOfDischargeArrivalDateMin, portOfDischargeArrivalDateMax, vesselName, carrierImportVoyageNumber, carrierServiceCode",
"portOfDischargeArrivalDateMin, portOfDischargeArrivalDateMax, vesselName, carrierImportVoyageNumber, universalServiceReference",
"portOfDischargeArrivalDateMin, portOfDischargeArrivalDateMax, vesselName, universalImportVoyageReference",
"portOfDischargeArrivalDateMin, portOfDischargeArrivalDateMax, vesselName, universalImportVoyageReference, carrierServiceCode",
"portOfDischargeArrivalDateMin, portOfDischargeArrivalDateMax, vesselName, universalImportVoyageReference, universalServiceReference",
